Ticker,Name,Weight,Price,IntradayReturn,Volume,Amount,IntradayContribution,MarketCap,YTDReturn,YTDContribution,PE,PB,Profit_TTM,DividendYield,Dividend,SharesOutstanding,Sector,Date
AAPL,Apple Inc,0.09505000000000001,241.84,0.019132,56833360,13612231238.0,0.0018184966000000002,3632938134320.0,-0.0332,-0.0031556600000000002,37.784,54.4195172761317,96150000000.0,0.00418,1.01,15022073000,Information Technology,2025-02-28 16:15:00 -0500
NVDA,NVIDIA Corp,0.07954,124.92,0.0397,389091145,47246222250.0,0.0031577379999999998,3048048000000.0,-0.0698,-0.005551892,41.823,38.423840558700064,72880000000.0,0.00027,0.034,24400000000,Information Technology,2025-02-28 16:15:00 -0500
MSFT,Microsoft Corp,0.07674,396.99,0.011362,32845658,12940465477.0,0.00087191988,2951216607473.0,-0.056299999999999996,-0.004320462,31.819,9.749802961637952,92750000000.0,0.00796,3.16,7433982235,Information Technology,2025-02-28 16:15:00 -0500
AMZN,Amazon.com Inc,0.05805,212.28,0.016959,51771737,10892930060.0,0.0009844699499999999,2249685986843.0,-0.032400000000000005,-0.0018808200000000003,37.971,7.866860114148337,59248000000.0,0.0,0.0,10597729352,Consumer Discretionary,2025-02-28 16:15:00 -0500
AVGO,Broadcom Inc,0.040069999999999995,199.43,0.008241,39747248,7866032682.0,0.00033021687,934799438191.0,-0.1398,-0.005601785999999999,158.575,13.81245660614971,5895000000.0,0.01083,2.159,4687356156,Information Technology,2025-02-28 16:15:00 -0500
META,Meta Platforms Inc,0.03789,668.2,0.015130999999999999,17534168,11599298829.0,0.0005733135899999999,1692991120873.0,0.1412,0.0053500679999999995,27.149,9.269705048117304,62360000000.0,0.0022400000000000002,1.498,2533659265,Communication Services,2025-02-28 16:00:00 -0500
COST,Costco Wholesale Corp,0.029740000000000003,1048.61,0.026328,3307117,3450030901.0,0.0007829947200000001,465476794071.0,0.1457,0.004333118,61.441,19.03712707337123,7576000000.0,0.00442,4.635,443898870,Consumer Staples,2025-02-28 16:00:00 -0500
TSLA,Tesla Inc,0.027610000000000003,292.98,0.03912,115696968,33210201054.0,0.0010801032,942375161500.0,-0.27449999999999997,-0.007578945,132.897,12.924652140221909,7091000000.0,0.0,0.0,3216517037,Consumer Discretionary,2025-02-28 16:15:00 -0500
NFLX,Netflix Inc,0.026779999999999998,980.56,0.018161,4717409,4598550039.0,0.00048635157999999995,419441501976.0,0.1001,0.0026806779999999997,48.147,16.951537422878438,8711631000.0,0.0,0.0,427757100,Communication Services,2025-02-28 16:00:00 -0500
GOOGL,Alphabet Inc,0.025849999999999998,170.28,0.010564,48130565,8141895165.0,0.0002730794,2075713200000.0,-0.1005,-0.002597925,20.733,6.385159527998917,100118000000.0,0.00356,0.606,12190000000,Communication Services,2025-02-28 16:15:00 -0500
GOOG,Alphabet Inc,0.02476,172.22,0.011809,30049812,5133818297.0,0.00029239084,2099361800000.0,-0.09570000000000001,-0.002369532,20.969,6.457905649001489,100118000000.0,0.0035199999999999997,0.606,12190000000,Communication Services,2025-02-28 16:15:00 -0500
TMUS,T-Mobile US Inc,0.02,269.69,0.024308,4721100,1264812821.0,0.00048616,307917196105.0,0.2259,0.004518,27.156,4.987240182455743,11339000000.0,0.011519999999999999,3.108,1141744952,Communication Services,2025-02-28 16:00:00 -0500
CSCO,Cisco Systems Inc,0.016319999999999998,64.11,0.004701,26711832,1702940458.0,7.672031999999999e-05,255048327816.0,0.09029999999999999,0.0014736959999999996,27.762,5.601764283241819,9187000000.0,0.025179999999999998,1.614,3978292432,Information Technology,2025-02-28 16:15:00 -0500
LIN,Linde PLC,0.01421,467.05,0.014708,2332945,1086229487.0,0.00020900068,220873371187.0,0.11560000000000001,0.0016426760000000002,33.644,5.798418859261787,6565000000.0,0.01206,5.631,472911618,Materials,2025-02-28 16:15:00 -0500
PEP,PepsiCo Inc,0.01345,153.47,0.009538,8455499,1296874149.0,0.0001282861,210484080138.0,0.009300000000000001,0.000125085,21.976,11.666985208026162,9578000000.0,0.02653,4.071,1371499838,Consumer Staples,2025-02-28 16:15:00 -0500
ISRG,Intuitive Surgical Inc,0.013049999999999999,573.15,0.016638,2401366,1364403440.0,0.0002171259,204417938917.0,0.0981,0.001280205,88.013,12.438947949457518,2322600000.0,0.0,0.0,356656964,Health Care,2025-02-28 16:00:00 -0500
ADBE,Adobe Inc,0.01234,438.56,0.003134,3936914,1721529714.0,3.867356e-05,190909177754.0,-0.0138,-0.000170292,34.336,13.534858401559731,5560000000.0,0.0,0.0,435309143,Information Technology,2025-02-28 16:15:00 -0500
PLTR,Palantir Technologies Inc,0.01184,84.92,0.001769,125977426,10410120679.0,2.094496e-05,199167674490.0,0.12279999999999999,0.001453952,430.922,39.80746101103777,462190000.0,0.0,0.0,2345356506,Information Technology,2025-02-28 16:15:00 -0500
TXN,Texas Instruments Inc,0.011430000000000001,195.99,0.024516,9024479,1760856503.0,0.00028021788000000004,178416158986.0,0.053,0.00060579,37.178,10.555295449683488,4799000000.0,0.02718,5.327,910332971,Information Technology,2025-02-28 16:15:00 -0500
QCOM,QUALCOMM Inc,0.01115,157.17,0.017677000000000002,10149470,1587221993.0,0.00019709855000000001,173830020000.0,0.0231,0.000257565,16.469,6.466890625,10555000000.0,0.01634,2.568,1106000000,Information Technology,2025-02-28 16:15:00 -0500
INTU,Intuit Inc,0.01097,613.84,0.022351,2444617,1483795460.0,0.00024519047,171606338080.0,-0.0217,-0.00023804900000000002,56.505,9.560774309432281,3037000000.0,0.00633,3.885,279562000,Information Technology,2025-02-28 16:00:00 -0500
BKNG,Booking Holdings Inc,0.01065,5016.01,0.019902,305454,1518787751.0,0.00021195629999999998,164601376368.0,0.0096,0.00010223999999999998,27.984,-40.945616011940295,5882000000.0,0.00716,35.922,32815201,Consumer Discretionary,2025-02-28 16:00:00 -0500
AMGN,Amgen Inc,0.01058,308.06,0.007325000000000001,3173055,974701313.0,7.749850000000002e-05,165491354741.0,0.19149999999999998,0.00202607,40.462,28.1591551371448,4090000000.0,0.02963,9.129,537204943,Health Care,2025-02-28 16:00:00 -0500
AMD,Advanced Micro Devices Inc,0.010360000000000001,99.86,0.003517,45194576,4517137152.0,3.643612e-05,161820929285.0,-0.17329999999999998,-0.001795388,98.611,2.8109527738500555,1641000000.0,0.0,0.0,1620477962,Information Technology,2025-02-28 16:15:00 -0500
GILD,Gilead Sciences Inc,0.00909,114.31,0.020716000000000002,12604049,1434968322.0,0.00018830844000000004,142430260000.0,0.2375,0.002158875,296.73,7.36835281945163,480000000.0,0.02694,3.079,1246000000,Health Care,2025-02-28 16:00:00 -0500
HON,Honeywell International Inc,0.00885,212.89,0.008288,3976646,844705113.0,7.33488e-05,138361160322.0,-0.0525,-0.000464625,24.253,7.431181068908105,5705000000.0,0.02077,4.422,649918551,Industrials,2025-02-28 16:15:00 -0500
CMCSA,Comcast Corp,0.00875,35.88,0.013846,26777627,958961372.0,0.00012115250000000002,135663090924.0,-0.0359,-0.00031412500000000006,8.378,1.5855901230014025,16192000000.0,0.03528,1.266,3781022601,Communication Services,2025-02-28 16:15:00 -0500
SBUX,Starbucks Corp,0.00838,115.81,0.011529000000000001,11466019,1320565940.0,9.661302e-05,131548579000.0,0.276,0.0023128800000000002,37.4,-17.606244763574555,3517300000.0,0.020339999999999997,2.356,1135900000,Consumer Discretionary,2025-02-28 16:00:00 -0500
AMAT,Applied Materials Inc,0.00832,158.07,0.009129,9427575,1482899894.0,7.595327999999999e-05,128422525001.0,-0.0258,-0.00021465599999999997,20.246,6.89516912757047,6343000000.0,0.01022,1.616,812440849,Information Technology,2025-02-28 16:00:00 -0500
ADP,Automatic Data Processing Inc,0.00819,315.18,0.012464,3289104,1033814023.0,0.00010208015999999998,128237568056.0,0.0767,0.000628173,32.6,25.253060801480867,3933700000.0,0.0183,5.767,406870893,Industrials,2025-02-28 16:00:00 -0500
PANW,Palo Alto Networks Inc,0.007980000000000001,190.43,0.015627,5190538,986201574.0,0.00012470346,126083703000.0,0.04650000000000001,0.0003710700000000001,100.505,19.776905086819443,1254500000.0,0.0,0.0,662100000,Information Technology,2025-02-28 16:00:00 -0500
VRTX,Vertex Pharmaceuticals Inc,0.00788,479.79,0.011149,2470731,1184136055.0,8.785412e-05,123205211248.0,0.19140000000000001,0.0015082320000000002,-230.032,7.508117885140406,-535600000.0,0.0,0.0,256789869,Health Care,2025-02-28 16:00:00 -0500
ADI,Analog Devices Inc,0.00728,230.06,0.027742,4631189,1059518529.0,0.00020196175999999999,114104349679.0,0.0828,0.000602784,72.963,3.253567408623792,1563862000.0,0.016,3.682,495976483,Information Technology,2025-02-28 16:15:00 -0500
MELI,MercadoLibre Inc,0.00688,2121.87,-0.003723,457494,962856435.0,-2.5614240000000002e-05,107573239091.0,0.24780000000000002,0.0017048640000000002,56.292,24.723796619397838,1911000000.0,0.0,0.0,50697375,Consumer Discretionary,2025-02-28 16:00:00 -0500
MU,Micron Technology Inc,0.00666,93.63,0.019712,23359055,2173059843.0,0.00013128192,104319917993.0,0.1125,0.00074925,26.873,2.229200974271855,3882000000.0,0.00489,0.458,1114171932,Information Technology,2025-02-28 16:00:00 -0500
INTC,Intel Corp,0.00653,23.73,0.027718,104133777,2470292490.0,0.00018099854000000001,102750900000.0,0.18350000000000002,0.0011982550000000003,-5.478,1.0350649743124811,-18756000000.0,0.010369999999999999,0.246,4330000000,Information Technology,2025-02-28 16:15:00 -0500
LRCX,Lam Research Corp,0.0063,76.74,0.007483,22608252,1733494775.0,4.71429e-05,98508221880.0,0.062400000000000004,0.00039312,22.943,11.183915883082088,4293570000.0,0.01135,0.871,1283662000,Information Technology,2025-02-28 16:15:00 -0500
APP,AppLovin Corp,0.00621,325.74,0.016381,9099588,2944696592.0,0.00010172601000000001,110737994166.0,0.0059,3.6639e-05,70.097,101.61145637711985,1579776000.0,0.0,0.0,339958231,Information Technology,2025-02-28 16:15:00 -0500
KLAC,KLA Corp,0.00605,708.84,0.013845000000000001,1242658,875835805.0,8.376225e-05,94195441035.0,0.1275,0.000771375,29.359,26.27818479674849,3208365000.0,0.00895,6.347,132886746,Information Technology,2025-02-28 16:00:00 -0500
CRWD,Crowdstrike Holdings Inc,0.005809999999999999,389.66,0.024773999999999997,3773054,1459980724.0,0.00014393693999999996,95977704800.0,0.1388,0.0008064279999999999,757.46,31.386464255430056,126710000.0,0.0,0.0,246311412,Information Technology,2025-02-28 16:00:00 -0500
MDLZ,Mondelez International Inc,0.00547,64.23,0.003907,8634599,553653094.0,2.137129e-05,83083121476.0,0.0753,0.00041189100000000006,18.018,3.084922080647557,4611000000.0,0.028759999999999997,1.847,1293525167,Consumer Staples,2025-02-28 16:15:00 -0500
CTAS,Cintas Corp,0.005350000000000001,207.5,0.020308000000000003,1839518,380400611.0,0.00010864780000000003,83735365890.0,0.1379,0.000737765,48.899,19.50461178689741,1712422000.0,0.0072699999999999996,1.509,403543932,Industrials,2025-02-28 16:00:00 -0500
FTNT,Fortinet Inc,0.00529,108.01,0.008591,5126325,551549000.0,4.5446390000000005e-05,83056888437.0,0.1432,0.000757528,47.592,55.60107674186638,1745200000.0,0.0,0.0,768974062,Information Technology,2025-02-28 16:15:00 -0500
